[SYS] 2023/12/27 - 16:53:34 | One API  started 
[SYS] 2023/12/27 - 16:53:34 | using MySQL as database 
[FATAL] 2023/12/27 - 16:53:34 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2023/12/27 - 16:53:35 | One API  started 
[SYS] 2023/12/27 - 16:53:35 | using MySQL as database 
[SYS] 2023/12/27 - 16:53:35 | database migration started 
[SYS] 2023/12/27 - 16:53:35 | database migrated 
[SYS] 2023/12/27 - 16:53:35 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2023/12/27 - 16:53:35 | initializing token encoders 
[SYS] 2023/12/27 - 16:53:35 | token encoders initialized 
[GIN] 2023/12/27 - 17:33:23 | 20231227173323660695537q0VCI3y8 | 200 |      43.931µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:33:53 | 20231227173353765470318AGrQc9Pk | 200 |      27.108µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:34:23 | 202312271734238523350564S7I7dCr | 200 |      53.942µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:34:53 | 20231227173453928974287CuKAQbpU | 200 |      36.509µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:35:23 | 20231227173523997191862Sp4uukBz | 200 |        38.5µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:35:54 | 2023122717355473558518q3Tm6aio | 200 |      35.451µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:36:24 | 20231227173624149110514jRKO1BgH | 200 |      50.572µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:36:54 | 202312271736542129504714oUga5UH | 200 |      29.067µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:37:24 | 20231227173724297082202aAoIbVND | 200 |      56.873µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:37:54 | 20231227173754369278802dbC5V9Mk | 200 |      32.311µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:38:24 | 20231227173824473581873PtIeOtuR | 200 |      74.043µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:38:54 | 20231227173854560949307E6hEwEQq | 200 |      41.271µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:39:24 | 202312271739246489750799tYrXRuH | 200 |      34.156µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:39:54 | 202312271739547132473293gETwGW4 | 200 |      36.243µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:40:24 | 20231227174024773002822ABirQgtT | 200 |      38.248µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:40:54 | 20231227174054881067673MDf6NIyD | 200 |      40.583µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:41:24 | 20231227174124989457762ZsHlpAma | 200 |      48.699µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:41:55 | 2023122717415577147521qBMMMrd2 | 200 |      38.248µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:42:25 | 20231227174225171393713rGlDHiIy | 200 |      65.524µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:42:55 | 202312271742552381437895UyfTgcM | 200 |      36.459µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:43:25 | 20231227174325312546556eoPMf5hH | 200 |      31.868µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:43:55 | 20231227174355394525077tVOII8Qj | 200 |      38.032µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:44:25 | 20231227174425469288840A39SREfW | 200 |      52.906µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:44:55 | 20231227174455565339804Z8SZPQ9M | 200 |      43.274µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:45:25 | 20231227174525644093838G5bkavCC | 200 |      37.376µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:45:55 | 20231227174555697084244AqtyOkGt | 200 |      31.923µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:46:25 | 20231227174625797214684obYaBDFk | 200 |      63.959µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:46:55 | 20231227174655865324168PcoCnqpw | 200 |      30.378µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:47:25 | 20231227174725924750206YfNy3rE5 | 200 |        44.3µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:47:56 | 2023122717475615568038BVCwkULV | 200 |      27.508µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:48:26 | 20231227174826120335556wCJhHn0Z | 200 |      49.882µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:48:56 | 20231227174856233624808VvEoWFTe | 200 |      32.628µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:49:26 | 20231227174926306540548lQLDcwbj | 200 |      35.102µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:49:56 | 20231227174956409255953JHh1vqAM | 200 |      40.816µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:50:26 | 20231227175026489109739YRbe7Lbx | 200 |       62.24µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:50:56 | 20231227175056604675430qDqN2vNS | 200 |      37.807µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:51:26 | 20231227175126696742594Fnfedcm0 | 200 |      34.881µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:51:56 | 20231227175156768894082HPsYC1Sr | 200 |      43.555µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:52:26 | 202312271752268822254063D4KRWjg | 200 |      78.613µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:52:56 | 20231227175256955792835OY6r6sr8 | 200 |      39.641µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:53:27 | 2023122717532718452681Hv7PTOGO | 200 |      56.305µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:53:57 | 20231227175357100472941oIofKv98 | 200 |      35.078µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:54:27 | 20231227175427164997277yhJzFS9v | 200 |      39.267µs |       127.0.0.1 |     GET /api/status
