[SYS] 2024/01/02 - 10:29:25 | One API  started 
[SYS] 2024/01/02 - 10:29:25 | using MySQL as database 
[FATAL] 2024/01/02 - 10:29:25 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2024/01/02 - 10:29:26 | One API  started 
[SYS] 2024/01/02 - 10:29:26 | using MySQL as database 
[SYS] 2024/01/02 - 10:29:26 | database migration started 
[SYS] 2024/01/02 - 10:29:26 | database migrated 
[SYS] 2024/01/02 - 10:29:26 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2024/01/02 - 10:29:26 | initializing token encoders 
[SYS] 2024/01/02 - 10:29:26 | token encoders initialized 
[GIN] 2024/01/02 - 11:35:38 | 20240102113538261368725W3gAA9Pc | 200 |      50.337µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:36:08 | 20240102113608361698280x7IvFe1H | 200 |      60.476µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:36:38 | 202401021136384328946995hfqJ7U1 | 200 |      31.914µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:37:08 | 20240102113708524775307WSlZE1Wb | 200 |      35.319µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:37:38 | 20240102113738613212386i892Okff | 200 |      51.448µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:38:08 | 20240102113808715732699yaBhS0iX | 200 |      29.861µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:38:38 | 20240102113838765173466SyhSXnEi | 200 |      33.865µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:39:08 | 20240102113908861051161rMBoTJlq | 200 |      37.095µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:39:39 | 2024010211393980412741tGQykZMh | 200 |       61.36µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:40:09 | 20240102114009290399186hVZ3fpFd | 200 |    4.376016ms |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:40:39 | 2024010211403945298619162dBhfs5 | 200 |      46.617µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:41:09 | 20240102114109596589408l6qTjRrb | 200 |     608.939µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:41:39 | 20240102114139796196888P9oRbzFg | 200 |      73.833µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:42:09 | 20240102114209904198807jtmeafAl | 200 |      31.273µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:42:40 | 202401021142403428134MLMAzKHI | 200 |      44.071µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:43:10 | 2024010211431086517209OHHdzIo4 | 200 |       47.65µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:43:40 | 20240102114340158342910yEMZudDW | 200 |      44.162µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:44:10 | 20240102114410225994230y4wvTfyK | 200 |      49.051µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:44:40 | 20240102114440300803178TiB5HPzb | 200 |      55.029µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:45:10 | 20240102114510384548103PrK6RnDz | 200 |      55.294µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:45:40 | 20240102114540481368082gAvSbf3L | 200 |      95.458µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:46:10 | 20240102114610549786801KAeV7m6k | 200 |      46.885µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:46:40 | 20240102114640641348928cN5uHBHK | 200 |       59.08µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:47:10 | 20240102114710741334457IeiHP5gD | 200 |      51.754µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:47:40 | 2024010211474087638777634GfY53T | 200 |      52.112µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:48:11 | 20240102114811225438156EPg9458 | 200 |      49.978µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:48:41 | 20240102114841152424443hhzVxaVl | 200 |      48.518µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:49:11 | 20240102114911294574275CWhSBJWI | 200 |    4.376442ms |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:49:41 | 20240102114941676845408K2Q7qlPJ | 200 |    1.462036ms |       127.0.0.1 |     GET /api/status
